candidate_id,category,basis,match_standard,brand,product,pack,record_uom,specs,annual_volume,same_product_confirmed,collected_on,data_source,notes,fnd_carried,fnd_sku,fnd_brand,fnd_price,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_specs,fnd_url,hd_carried,hd_sku,hd_brand,hd_price,hd_uom,hd_pack_coverage,hd_promo_price,hd_specs,hd_url,lw_carried,lw_sku,lw_brand,lw_price,lw_uom,lw_pack_coverage,lw_promo_price,lw_specs,lw_url,mnd_carried,mnd_sku,mnd_brand,mnd_price,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_specs,mnd_url,tsh_carried,tsh_sku,tsh_brand,tsh_price,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_specs,tsh_url
C001,Setting Materials,lb,identical,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=standard,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C002,Setting Materials,lb,identical,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),50 lb bag,per_bag,chemistry=modified thinset;color_family=white;grade=standard,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C003,Setting Materials,lb,identical,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,50 lb bag,per_bag,chemistry=large format mortar;color_family=gray;grade=premium,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C004,Setting Materials,lb,identical,MAPEI,Ultraflex 2 Gray Polymer-Modified Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=premium,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C005,Setting Materials,lb,identical,MAPEI,Ultraflex 1 White Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=white;grade=standard,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C006,Setting Materials,each,identical,MAPEI,Type 1 Ceramic Tile Adhesive,3.5 gal pail,per_each,chemistry=mastic;grade=standard,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C007,Setting Materials,lb,identical,Laticrete,254 Platinum Gray Multipurpose Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=premium,,,,,expected at all three - confirm carriage,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,,,,,,,50,,,
C008,Setting Materials,each,identical,Custom Building Products,AcrylPro Professional Tile Adhesive,3.5 gal pail,per_each,chemistry=mastic;grade=standard,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C009,Grout & Caulk,each,identical,Custom Building Products,Fusion Pro Single Component Grout,1 gal pail,per_each,chemistry=single component;stain_resistant=yes,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C010,Grout & Caulk,lb,identical,Custom Building Products,Polyblend Plus Sanded Grout,25 lb bag,per_bag,chemistry=sanded;joint_width=0.25,,,,,expected at all three - confirm carriage,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,
C011,Grout & Caulk,lb,identical,Custom Building Products,Polyblend Plus Non-Sanded Grout,10 lb bag,per_bag,chemistry=unsanded;joint_width=0.125,,,,,expected at all three - confirm carriage,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,
C012,Grout & Caulk,lb,identical,MAPEI,Keracolor S Sanded Grout,25 lb bag,per_bag,chemistry=sanded;joint_width=0.25,,,,,expected at all three - confirm carriage,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,,,,,,,25,,,
C013,Grout & Caulk,lb,identical,MAPEI,Keracolor U Unsanded Grout,10 lb bag,per_bag,chemistry=unsanded;joint_width=0.125,,,,,expected at all three - confirm carriage,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,,,,,,,10,,,
C014,Grout & Caulk,each,identical,MAPEI,Flexcolor CQ Ready-to-Use Grout,1 gal pail,per_each,chemistry=single component;stain_resistant=yes,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C015,Grout & Caulk,each,identical,Custom Building Products,Commercial 100% Silicone Sealant,10.1 oz tube,per_each,chemistry=silicone,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C016,Grout & Caulk,each,identical,Custom Building Products,Polyblend Sanded Ceramic Tile Caulk,10.5 oz tube,per_each,chemistry=sanded caulk,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C017,Membrane & Backer,sq_ft,identical,Schluter,DITRA Uncoupling Membrane (DITRA5M),54 sq ft roll,per_roll_sqft,material=polyethylene;thickness_mm=3.2;function=uncoupling,,,,,carriage verified at all three (Sept 2026 search),,,,,,54,,,,,,,,,54,,,,,,,,,54,,,,,,,,,54,,,,,,,,,54,,,
C018,Membrane & Backer,sq_ft,identical,Schluter,DITRA Uncoupling Membrane,150 sq ft roll,per_roll_sqft,material=polyethylene;thickness_mm=3.2;function=uncoupling,,,,,carriage verified at all three (Sept 2026 search),,,,,,150,,,,,,,,,150,,,,,,,,,150,,,,,,,,,150,,,,,,,,,150,,,
C019,Membrane & Backer,sq_ft,identical,Schluter,DITRA-XL Uncoupling Membrane,175 sq ft roll,per_roll_sqft,material=polyethylene;thickness_mm=7;function=uncoupling,,,,,carriage verified at all three (Sept 2026 search),,,,,,175,,,,,,,,,175,,,,,,,,,175,,,,,,,,,175,,,,,,,,,175,,,
C020,Membrane & Backer,sq_ft,identical,Schluter,KERDI 200 Waterproofing Membrane,108 sq ft roll,per_roll_sqft,material=polyethylene;function=waterproofing,,,,,expected at all three - confirm carriage,,,,,,108,,,,,,,,,108,,,,,,,,,108,,,,,,,,,108,,,,,,,,,108,,,
C021,Membrane & Backer,each,identical,Schluter,KERDI-BOARD Building Panel 1/2 in,32 in x 48 in,per_each,material=xps;thickness_in=0.5,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C022,Membrane & Backer,each,identical,USG,Durock Brand Cement Board 1/2 in,3 ft x 5 ft,per_each,material=cement board;thickness_in=0.5,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C023,Membrane & Backer,each,identical,James Hardie,HardieBacker Cement Board 1/4 in,3 ft x 5 ft,per_each,material=cement board;thickness_in=0.25,,,,,expected at all three - confirm carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C024,Membrane & Backer,sq_ft,identical,Schluter,DITRA-HEAT Membrane,134 sq ft roll,per_roll_sqft,material=polyethylene;function=heat,,,,,expected at all three - confirm carriage,,,,,,134,,,,,,,,,134,,,,,,,,,134,,,,,,,,,134,,,,,,,,,134,,,
C025,Tile Trim & Edging,lin_ft,identical,Schluter,JOLLY Anodized Aluminum Edge 3/8 in,8 ft 2 in,per_piece,profile=square edge;material_trim=anodized aluminum;height_mm=10,,,,,expected at all three - confirm carriage,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,
C026,Tile Trim & Edging,lin_ft,identical,Schluter,RONDEC Anodized Aluminum Edge 3/8 in,8 ft 2 in,per_piece,profile=round edge;material_trim=anodized aluminum;height_mm=10,,,,,expected at all three - confirm carriage,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,
C027,Tile Trim & Edging,lin_ft,identical,Schluter,SCHIENE Aluminum Edge 3/8 in,8 ft 2 in,per_piece,profile=square edge;material_trim=aluminum;height_mm=10,,,,,expected at all three - confirm carriage,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,
C028,Tile Trim & Edging,lin_ft,identical,Schluter,RENO-U Aluminum Reducer 3/8 in,8 ft 2 in,per_piece,profile=reducer;material_trim=anodized aluminum;height_mm=10,,,,,expected at all three - confirm carriage,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,,,,,,,8.17,,,
