category,skus,priced_skus,basis,annual_units,avg_unit_price,annual_spend,share_of_spend,benchmarked_spend,unbenchmarked_spend,benchmark_coverage,matched_skus_vs_low,index_vs_market_low,dollars_vs_market_low,index_vs_home_depot,dollars_vs_home_depot,index_vs_lowes,dollars_vs_lowes,index_vs_menards,dollars_vs_menards,index_vs_tile_shop,dollars_vs_tile_shop
Installation Tools,9,9,each,358063.0,94.918,33986624.82,0.6446,33986624.82,0.0,1.0,9,0.9545,-1621693.56,0.8715,-4994726.56,0.9428,-959434.56,0.9682,-946637.0,0.8365,-4774137.56
Sealers & Care,7,7,each,230349.0,25.2301,5811727.02,0.1102,5811727.02,0.0,1.0,7,1.0182,103860.0,0.9493,-210642.0,0.9942,-28673.0,1.0147,84081.0,,0.0
Tile Trim & Edging,6,6,lin_ft,327378.0,9.542,3123832.97,0.0593,3123832.97,0.0,1.0,6,1.0346,104330.37,0.9589,-133947.72,1.0019,6040.11,0.9681,-82567.57,0.8817,-419050.7
Luxury Vinyl Plank,16,16,sq_ft,669525.0,2.9804,1995438.55,0.0378,1995438.55,0.0,1.0,16,0.997,-5971.75,0.893,-239036.54,0.9388,-124470.1,0.9429,-107111.36,0.8929,-185782.2
Engineered Hardwood,6,6,sq_ft,301872.0,5.534,1670559.98,0.0317,1670559.98,0.0,1.0,6,1.0096,15860.91,0.8984,-166865.16,0.9355,-112266.8,0.9802,-33725.98,,0.0
Porcelain Tile,9,9,sq_ft,480370.0,3.0556,1467808.2,0.0278,1467808.2,0.0,1.0,9,1.016,23175.74,0.9523,-66587.09,0.9172,-132430.8,0.9825,-22641.35,0.8433,-230998.9
Solid Hardwood,6,6,sq_ft,251372.0,5.1617,1297507.78,0.0246,1297507.78,0.0,1.0,6,1.0561,68916.75,1.0184,14627.21,0.9587,-55949.8,1.0387,26246.74,,0.0
Mosaic & Decorative Tile,2,2,sq_ft,68244.0,15.7291,1073415.12,0.0204,1073415.12,0.0,1.0,2,1.1485,138792.18,0.857,-179130.0,0.9064,-110886.0,1.1485,138792.18,0.8999,-85284.0
Membrane & Backer,8,8,mixed,298906.0,,700818.81,0.0133,700818.81,0.0,1.0,8,0.9281,-54310.01,0.8716,-103279.04,0.9,-68928.53,0.9281,-54310.01,0.8111,-163184.17
Trim & Moulding,3,3,lin_ft,176926.0,2.1855,386669.41,0.0073,386669.41,0.0,1.0,3,0.9917,-3220.93,1.0118,2466.14,0.9044,-40880.0,0.974,-10320.73,,0.0
Grout & Caulk,8,8,mixed,258381.0,,331657.13,0.0063,331657.13,0.0,1.0,8,1.0107,3513.86,0.8974,-22057.96,0.9393,-21450.18,1.0088,2877.66,0.877,-37405.68
Natural Stone Tile,2,2,sq_ft,33640.0,8.6487,290941.85,0.0055,290941.85,0.0,1.0,2,1.0962,25538.15,1.0,0.0,1.0749,20262.75,1.0033,944.9,0.9443,-3994.5
Ceramic Tile,5,5,sq_ft,181645.0,1.5067,273681.75,0.0052,273681.75,0.0,1.0,5,1.098,24425.08,1.0479,12503.83,1.0676,13599.0,1.0263,7014.47,0.9535,-13351.2
Setting Materials,8,8,mixed,429712.0,,208980.84,0.004,208980.84,0.0,1.0,8,1.0379,7635.44,0.9373,-13990.38,0.9489,-10008.4,1.0334,5978.58,0.9195,-18291.32
Underlayment,4,4,sq_ft,185913.0,0.5507,102373.29,0.0019,102373.29,0.0,1.0,4,1.0088,896.75,0.9122,-9848.45,0.9579,-4289.36,1.0286,1895.27,,0.0
All categories,99,99,mixed,4252296.0,,52722037.53,1.0,52722037.53,0.0,1.0,99,0.9783,-1168251.0,0.8902,-6110513.72,0.9535,-1629765.68,0.9789,-989483.21,0.8462,-5931480.24
