group_id,retailer,retailer_sku,brand,product_name,price,uom,pack_coverage,promo_price,in_stock,collected_on,data_source,url,specs
C001,floor_and_decor,FND-271657,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),29.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=standard
C001,home_depot,HD-366502,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),30.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=standard
C001,menards,MND-827768,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),27.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=standard
C001,tile_shop,TSH-878552,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),32.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=standard
C002,floor_and_decor,FND-220780,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),24.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=white;grade=standard
C002,home_depot,HD-805608,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),26.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=white;grade=standard
C002,lowes,LW-755507,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),25.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=white;grade=standard
C002,menards,MND-438864,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),24.98,per_bag,50,21.98,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=white;grade=standard
C002,tile_shop,TSH-552397,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),25.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=white;grade=standard
C003,floor_and_decor,FND-450904,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,22.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=large format mortar;color_family=gray;grade=premium
C003,home_depot,HD-891138,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,23.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=large format mortar;color_family=gray;grade=premium
C003,lowes,LW-948469,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,24.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=large format mortar;color_family=gray;grade=premium
C003,menards,MND-552261,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,22.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=large format mortar;color_family=gray;grade=premium
C003,tile_shop,TSH-702644,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,24.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=large format mortar;color_family=gray;grade=premium
C004,floor_and_decor,FND-430863,MAPEI,Ultraflex 2 Gray Polymer-Modified Mortar,27.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=premium
C004,home_depot,HD-998475,MAPEI,Ultraflex 2 Gray Polymer-Modified Mortar,28.98,per_bag,50,,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=premium
C004,lowes,LW-295448,MAPEI,Ultraflex 2 Gray Polymer-Modified Mortar,27.98,per_bag,50,25.98,yes,2026-09-10,seed_estimate,,chemistry=modified thinset;color_family=gray;grade=premium
