group_id,category,subcategory,description,basis,annual_volume,fnd_brand,fnd_sku,fnd_price_as_quoted,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_unit_price,fnd_match_tier,fnd_in_stock,fnd_counted,hd_brand,hd_sku,hd_price_as_quoted,hd_uom,hd_pack_coverage,hd_promo_price,hd_unit_price,hd_match_tier,hd_in_stock,hd_counted,lw_brand,lw_sku,lw_price_as_quoted,lw_uom,lw_pack_coverage,lw_promo_price,lw_unit_price,lw_match_tier,lw_in_stock,lw_counted,mnd_brand,mnd_sku,mnd_price_as_quoted,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_unit_price,mnd_match_tier,mnd_in_stock,mnd_counted,tsh_brand,tsh_sku,tsh_price_as_quoted,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_unit_price,tsh_match_tier,tsh_in_stock,tsh_counted,market_min,gap_vs_market_min,outcome,cheapest_retailer
C001,Setting Materials,Custom Building Products,Custom Building Products VersaBond Gray Fortified Thin-Set (MTSG50) 50 lb bag,lb,23113.0,Custom Building Products,FND-271657,29.98,per_bag,50.0,,0.5996,base,yes,yes,Custom Building Products,HD-366502,30.98,per_bag,50.0,,0.6196,exact,yes,yes,,,,,,,,not carried,,no,Custom Building Products,MND-827768,27.98,per_bag,50.0,,0.5596,exact,yes,yes,Custom Building Products,TSH-878552,32.98,per_bag,50.0,,0.6596,exact,yes,yes,0.5596,0.0715,loss,menards
C002,Setting Materials,Custom Building Products,Custom Building Products VersaBond White Professional Thin-Set (MTSW50) 50 lb bag,lb,56620.0,Custom Building Products,FND-220780,24.98,per_bag,50.0,,0.4996,base,yes,yes,Custom Building Products,HD-805608,26.98,per_bag,50.0,,0.5396,exact,yes,yes,Custom Building Products,LW-755507,25.98,per_bag,50.0,,0.5196,exact,yes,yes,Custom Building Products,MND-438864,24.98,per_bag,50.0,21.98,0.4396,exact,yes,yes,Custom Building Products,TSH-552397,25.98,per_bag,50.0,,0.5196,exact,yes,yes,0.4396,0.1365,loss,menards
C003,Setting Materials,Custom Building Products,Custom Building Products VersaBond-LFT Gray Large Format Mortar 50 lb bag,lb,45443.0,Custom Building Products,FND-450904,22.98,per_bag,50.0,,0.4596,base,yes,yes,Custom Building Products,HD-891138,23.98,per_bag,50.0,,0.4796,exact,yes,yes,Custom Building Products,LW-948469,24.98,per_bag,50.0,,0.4996,exact,yes,yes,Custom Building Products,MND-552261,22.98,per_bag,50.0,,0.4596,exact,yes,yes,Custom Building Products,TSH-702644,24.98,per_bag,50.0,,0.4996,exact,yes,yes,0.4596,0.0,tie,floor_and_decor
C004,Setting Materials,MAPEI,MAPEI Ultraflex 2 Gray Polymer-Modified Mortar 50 lb bag,lb,82843.0,MAPEI,FND-430863,27.98,per_bag,50.0,,0.5596,base,yes,yes,MAPEI,HD-998475,28.98,per_bag,50.0,,0.5796,exact,yes,yes,MAPEI,LW-295448,27.98,per_bag,50.0,25.98,0.5196,exact,yes,yes,MAPEI,MND-139932,26.98,per_bag,50.0,,0.5396,exact,yes,yes,MAPEI,TSH-610254,28.98,per_bag,50.0,,0.5796,exact,yes,yes,0.5196,0.077,loss,lowes
C005,Setting Materials,MAPEI,MAPEI Ultraflex 1 White Mortar 50 lb bag,lb,41860.0,MAPEI,FND-427879,28.98,per_bag,50.0,,0.5796,base,yes,yes,MAPEI,HD-638011,28.98,per_bag,50.0,,0.5796,exact,yes,yes,MAPEI,LW-980509,30.98,per_bag,50.0,,0.6196,exact,yes,yes,,,,,,,,not carried,,no,MAPEI,TSH-487263,31.98,per_bag,50.0,,0.6396,exact,yes,yes,0.5796,0.0,tie,floor_and_decor
C006,Setting Materials,MAPEI,MAPEI Type 1 Ceramic Tile Adhesive 3.5 gal pail,each,65648.0,MAPEI,FND-308679,0.49,per_each,,0.49,0.49,base,yes,yes,MAPEI,HD-992354,0.49,per_each,,,0.49,exact,yes,yes,MAPEI,LW-463315,0.49,per_each,,,0.49,exact,yes,yes,MAPEI,MND-500441,0.49,per_each,,,0.49,exact,yes,yes,MAPEI,TSH-431176,0.49,per_each,,,0.49,exact,yes,yes,0.49,0.0,tie,floor_and_decor
C007,Setting Materials,Laticrete,Laticrete 254 Platinum Gray Multipurpose Mortar 50 lb bag,lb,27209.0,Laticrete,FND-944030,16.98,per_bag,50.0,,0.3396,base,yes,yes,Laticrete,HD-572450,16.98,per_bag,50.0,,0.3396,exact,yes,yes,,,,,,,,not carried,,no,Laticrete,MND-992992,16.98,per_bag,50.0,,0.3396,exact,yes,yes,Laticrete,TSH-797918,18.98,per_bag,50.0,,0.3796,exact,yes,yes,0.3396,0.0,tie,floor_and_decor
C008,Setting Materials,Custom Building Products,Custom Building Products AcrylPro Professional Tile Adhesive 3.5 gal pail,each,86976.0,Custom Building Products,FND-225403,0.39,per_each,,,0.39,base,yes,yes,Custom Building Products,HD-433627,0.49,per_each,,,0.49,exact,yes,yes,Custom Building Products,LW-957128,0.49,per_each,,,0.49,exact,yes,yes,Custom Building Products,MND-187215,0.39,per_each,,,0.39,exact,yes,yes,Custom Building Products,TSH-470106,0.49,per_each,,,0.49,exact,yes,yes,0.39,0.0,tie,floor_and_decor
C009,Grout & Caulk,Custom Building Products,Custom Building Products Fusion Pro Single Component Grout 1 gal pail,each,12718.0,Custom Building Products,FND-389600,0.99,per_each,,,0.99,base,yes,yes,Custom Building Products,HD-954089,1.09,per_each,,,1.09,exact,yes,yes,Custom Building Products,LW-535961,1.09,per_each,,,1.09,exact,yes,yes,Custom Building Products,MND-255197,1.09,per_each,,,1.09,exact,yes,yes,Custom Building Products,TSH-421849,1.09,per_each,,,1.09,exact,yes,yes,1.09,-0.0917,win,floor_and_decor
C010,Grout & Caulk,Custom Building Products,Custom Building Products Polyblend Plus Sanded Grout 25 lb bag,lb,60181.0,Custom Building Products,FND-141690,29.98,per_bag,25.0,26.98,1.0792,base,yes,yes,Custom Building Products,HD-306774,32.98,per_bag,25.0,,1.3192,exact,yes,yes,Custom Building Products,LW-807375,32.98,per_bag,25.0,,1.3192,exact,yes,yes,Custom Building Products,MND-276578,29.98,per_bag,25.0,,1.1992,exact,yes,yes,,,,,,,,not carried,,no,1.1992,-0.1001,win,floor_and_decor
