category,skus,priced_skus,basis,annual_units,avg_unit_price,annual_spend,share_of_spend,benchmarked_spend,unbenchmarked_spend,benchmark_coverage,matched_skus_vs_low,index_vs_market_low,dollars_vs_market_low,index_vs_home_depot,dollars_vs_home_depot,index_vs_lowes,dollars_vs_lowes,index_vs_menards,dollars_vs_menards,index_vs_tile_shop,dollars_vs_tile_shop
Luxury Vinyl Plank,30,30,sq_ft,4792483.0,3.3923,16257583.57,0.3752,16257583.57,0.0,1.0,30,0.9586,-702197.78,0.8738,-2207116.3,0.878,-2071041.42,0.9045,-1390789.11,0.812,-2635573.23
Porcelain Tile,26,26,sq_ft,1927502.0,3.5659,6873350.58,0.1586,6873350.58,0.0,1.0,26,0.9131,-654310.56,0.8738,-876728.66,0.831,-1057694.33,0.8949,-709963.69,0.8119,-1270110.17
Engineered Hardwood,16,16,sq_ft,744122.0,5.511,4100884.28,0.0946,4100884.28,0.0,1.0,16,0.9028,-441494.61,0.8882,-406671.99,0.8533,-592158.44,0.8461,-739586.97,,0.0
Laminate,18,18,sq_ft,1496903.0,2.4657,3690848.87,0.0852,3690848.87,0.0,1.0,18,0.996,-14719.77,0.9386,-216518.42,0.8976,-402249.89,0.8951,-380459.21,,0.0
Natural Stone Tile,12,12,sq_ft,296994.0,8.2574,2452397.75,0.0566,2452397.75,0.0,1.0,12,0.8705,-364793.16,0.7866,-480590.58,0.8223,-477991.43,0.8134,-562610.66,0.731,-848454.86
Ceramic Tile,14,14,sq_ft,1323435.0,1.7516,2318120.75,0.0535,2318120.75,0.0,1.0,14,0.9276,-180944.5,0.861,-369040.13,0.8444,-394748.66,0.8753,-319970.85,0.8215,-438289.17
Vanities & Tops,4,4,each,2550.0,689.5333,1758310.0,0.0406,1758310.0,0.0,1.0,4,1.048,80490.0,0.9622,-39500.0,1.0264,45180.0,0.9965,-3500.0,,0.0
Solid Hardwood,10,10,sq_ft,270306.0,6.368,1721295.84,0.0397,1721295.84,0.0,1.0,10,0.9427,-104573.71,0.8106,-402077.78,0.8884,-156074.4,0.8967,-198345.33,,0.0
Installation Tools,6,6,each,11150.0,118.9663,1326474.0,0.0306,1326474.0,0.0,1.0,6,1.1161,138008.0,1.0375,47230.0,1.0423,53873.43,1.0206,26396.57,1.011,10712.57
Mosaic & Decorative Tile,10,10,sq_ft,35568.0,18.5865,661084.95,0.0153,661084.95,0.0,1.0,10,0.884,-86719.95,0.8359,-83736.76,0.8116,-112003.47,0.8269,-110745.56,0.7777,-132986.41
Trim & Moulding,10,10,lin_ft,175579.0,3.3709,591864.11,0.0137,591864.11,0.0,1.0,10,1.0106,6232.93,0.9469,-33204.11,0.9598,-16984.73,0.9264,-31344.57,,0.0
Wall Tile & Backsplash,8,8,sq_ft,83440.0,4.6896,391296.6,0.009,391296.6,0.0,1.0,8,0.9854,-5813.69,0.8973,-37227.09,0.9077,-31720.8,0.9173,-35281.86,0.9322,-13847.0
Tile Trim & Edging,6,6,lin_ft,44591.0,8.4346,376108.57,0.0087,376108.57,0.0,1.0,6,1.0264,9687.67,0.9476,-15286.3,1.0148,4154.52,0.9581,-13002.75,0.899,-26020.51
Carpet & Carpet Tile,6,6,sq_ft,95637.0,2.6867,256943.73,0.0059,256943.73,0.0,1.0,6,0.9585,-11115.9,0.9202,-20065.93,0.9563,-9172.12,0.9266,-17772.28,,0.0
Grout & Caulk,8,8,lb,191808.0,1.2613,241929.62,0.0056,241929.62,0.0,1.0,8,1.0647,14702.16,0.999,-209.0,1.0783,13287.27,1.0068,1356.36,0.9674,-6580.96
Underlayment,8,8,sq_ft,439977.0,0.5205,229005.29,0.0053,229005.29,0.0,1.0,8,1.0447,9789.48,0.9887,-2614.19,0.9499,-12081.77,1.006,982.57,,0.0
Setting Materials,8,8,lb,178985.0,0.4719,84454.49,0.0019,84454.49,0.0,1.0,8,1.1504,11041.6,1.0297,2053.96,1.0711,5607.9,1.0876,6801.6,0.9149,-4282.89
All categories,200,200,mixed,12111030.0,,43331953.01,1.0,43331953.01,0.0,1.0,200,0.9497,-2296731.78,0.8817,-5141303.3,0.8792,-5211818.35,0.8934,-4477835.73,0.8129,-5365432.63
