group_id,category,description,brand,basis,annual_volume,fnd_unit_price,fnd_annual_spend,home_depot_unit_price,home_depot_annual_spend,home_depot_gap_pct,lowes_unit_price,lowes_annual_spend,lowes_gap_pct,menards_unit_price,menards_annual_spend,menards_gap_pct,tile_shop_unit_price,tile_shop_annual_spend,tile_shop_gap_pct,cheapest_retailer
G0006,Luxury Vinyl Plank,Waterproof LVP - Blackwater rigid core 20,Shaw,sq_ft,107649.0,4.39,472579.11,4.79,515638.71,0.0911,4.6902,504895.34,0.0684,4.69,504873.81,0.0683,4.99,537168.51,0.1367,floor_and_decor
G0020,Luxury Vinyl Plank,Glue Down LVP - Bianco rigid core 22,COREtec,sq_ft,205990.0,3.29,677707.1,3.39,698306.1,0.0304,3.5302,727185.9,0.073,3.49,718905.1,0.0608,3.6155,744756.84,0.0989,floor_and_decor
G0081,Porcelain Tile,Wood Look Plank - Bayside porcelain 6x24,MSI,sq_ft,50412.0,2.19,110402.28,2.39,120484.68,0.0913,2.49,125525.88,0.137,2.39,120484.68,0.0913,2.39,120484.68,0.0913,floor_and_decor
G0084,Porcelain Tile,Marble Look - Granite Peak porcelain 12x12,Marazzi,sq_ft,112291.0,4.69,526644.79,5.19,582790.29,0.1066,5.19,582790.29,0.1066,4.8178,540995.58,0.0272,5.29,594019.39,0.1279,floor_and_decor
G0100,Porcelain Tile,Large Format - Blackwater porcelain 12x12,Daltile,sq_ft,148412.0,4.39,651528.68,4.8058,713238.39,0.0947,4.79,710893.48,0.0911,4.7225,700875.67,0.0757,4.89,725734.68,0.1139,floor_and_decor
G0106,Ceramic Tile,Field Tile - Onyx ceramic 12x12,Marazzi,sq_ft,120062.0,2.79,334972.98,3.09,370991.58,0.1075,3.09,370991.58,0.1075,3.0451,365600.8,0.0914,3.19,382997.78,0.1434,floor_and_decor
G0113,Ceramic Tile,Floor Ceramic - Redmond ceramic 12x12,Marazzi,sq_ft,129225.0,1.19,153777.75,1.29,166700.25,0.084,1.29,166700.25,0.084,1.3539,174957.73,0.1377,0.99,127932.75,-0.1681,tile_shop
G0118,Natural Stone Tile,Marble - Cambridge quartzite 16x16,MSI,sq_ft,14599.0,9.59,140004.41,11.99,175042.01,0.2503,10.6817,155942.14,0.1138,10.97,160151.03,0.1439,11.97,174750.03,0.2482,floor_and_decor
G0137,Wall Tile & Backsplash,Glass Wall - Quarry ceramic 4x16,Marazzi,sq_ft,19290.0,3.59,69251.1,3.99,76967.1,0.1114,3.89,75038.1,0.0836,4.0534,78190.09,0.1291,3.89,75038.1,0.0836,floor_and_decor
G0161,Setting Materials,Modified Thinset - Tidewater epoxy mortar standard,MAPEI,lb,12276.0,0.4392,5391.62,0.4388,5386.71,-0.0009,0.4394,5394.07,0.0005,0.4396,5396.53,0.0009,0.4594,5639.59,0.046,floor_and_decor
G0169,Grout & Caulk,Single Component Grout - Charcoal single component 0.5,MAPEI,lb,5469.0,1.2211,6678.2,1.198,6551.86,-0.0189,1.1992,6558.42,-0.0179,1.1588,6337.48,-0.051,1.297,7093.29,0.0622,menards
G0170,Grout & Caulk,Sanded Grout - Linen sanded 0.125,Custom Building Products,lb,10089.0,0.9992,10080.93,0.9989,10077.9,-0.0003,1.097,11067.63,0.0979,0.959,9675.35,-0.0402,1.097,11067.63,0.0979,menards
G0171,Grout & Caulk,Epoxy Grout - Hillcrest epoxy 0.125,MAPEI,lb,34627.0,1.0656,36898.53,0.9211,31894.93,-0.1356,0.869,30090.86,-0.1845,1.0211,35357.63,-0.0418,0.939,32514.75,-0.1188,lowes
G0174,Grout & Caulk,Single Component Grout - Fieldstone sanded 0.125,Laticrete,lb,31626.0,1.3322,42132.16,1.33,42062.58,-0.0017,1.2796,40468.63,-0.0395,1.22,38583.72,-0.0842,1.299,41082.17,-0.0249,menards
G0185,Tile Trim & Edging,Edge Profile - Riverbend bullnose brushed brass,Custom Building Products,lin_ft,8453.0,4.7488,40141.61,5.8738,49651.23,0.2369,5.6225,47526.99,0.184,5.6212,47516.0,0.1837,5.7488,48594.61,0.2106,floor_and_decor
G0191,Installation Tools,Hand Tool - Fieldstone knee pads manual,QEP,each,1209.0,164.98,199460.82,164.98,199460.82,0.0,124.98,151100.82,-0.2425,169.98,205505.82,0.0303,169.98,205505.82,0.0303,lowes
G0193,Installation Tools,Wet Saw - Havana mixing paddle electric,DEWALT,each,1526.0,164.98,251759.48,169.98,259389.48,0.0303,164.98,251759.48,0.0,164.98,251759.48,0.0,174.98,267019.48,0.0606,floor_and_decor
G0195,Installation Tools,Leveling System - Oakmont notched trowel manual,Rubi,each,2743.0,88.98,244072.14,68.98,189212.14,-0.2248,86.97,238558.71,-0.0226,80.99,222155.57,-0.0898,89.99,246842.57,0.0114,home_depot
G0196,Installation Tools,Hand Tool - Willow Bend leveling clips electric,Rubi,each,2105.0,129.98,273607.9,129.98,273607.9,0.0,129.98,273607.9,0.0,124.98,263082.9,-0.0385,114.98,242032.9,-0.1154,tile_shop
