group_id,category,description,brand,basis,annual_volume,fnd_unit_price,fnd_annual_spend,home_depot_unit_price,home_depot_annual_spend,home_depot_gap_pct,lowes_unit_price,lowes_annual_spend,lowes_gap_pct,menards_unit_price,menards_annual_spend,menards_gap_pct,cheapest_retailer
G0006,Luxury Vinyl Plank,Waterproof LVP - Blackwater rigid core 20,Shaw,sq_ft,107649.0,4.39,472579.11,4.79,515638.71,0.0911,4.6902,504895.34,0.0684,4.69,504873.81,0.0683,floor_and_decor
G0008,Luxury Vinyl Plank,WPC Rigid Core - Vintage Elm WPC 28,AquaGuard,sq_ft,233094.0,4.49,1046592.06,5.99,1396233.06,0.3341,4.99,1163139.06,0.1114,5.59,1302995.46,0.245,floor_and_decor
G0009,Luxury Vinyl Plank,Waterproof LVP - Zermatt WPC 20,AquaGuard,sq_ft,146770.0,3.39,497550.3,4.09,600289.3,0.2065,4.2687,626517.1,0.2592,2.8568,419292.54,-0.1573,menards
G0010,Luxury Vinyl Plank,SPC Rigid Core - Stonehaven WPC 12,Mohawk,sq_ft,113210.0,3.49,395102.9,3.6902,417767.54,0.0574,3.69,417744.9,0.0573,3.59,406423.9,0.0287,floor_and_decor
G0011,Luxury Vinyl Plank,SPC Rigid Core - Harbor Oak WPC 12,DuraLux,sq_ft,163958.0,2.59,424651.22,2.7704,454229.24,0.0697,2.7543,451589.52,0.0634,3.1222,511909.67,0.2055,floor_and_decor
G0012,Luxury Vinyl Plank,Waterproof LVP - Zermatt rigid core 12,DuraLux,sq_ft,192148.0,3.19,612952.12,3.39,651381.72,0.0627,3.79,728240.92,0.1881,3.805,731123.14,0.1928,floor_and_decor
G0013,Luxury Vinyl Plank,SPC Rigid Core - Umber rigid core 22,AquaGuard,sq_ft,54349.0,2.09,113589.41,2.4883,135236.62,0.1906,2.39,129894.11,0.1435,2.3856,129654.97,0.1414,floor_and_decor
G0014,Luxury Vinyl Plank,SPC Rigid Core - Thornbury WPC 20,Pergo,sq_ft,192652.0,4.69,903537.88,4.9467,952991.65,0.0547,4.9046,944881.0,0.0458,4.5806,882461.75,-0.0233,menards
G0016,Luxury Vinyl Plank,Waterproof LVP - Maplewood rigid core 22,AquaGuard,sq_ft,203747.0,4.39,894449.33,5.6247,1146015.75,0.2813,4.09,833325.23,-0.0683,3.7334,760669.05,-0.1496,menards
G0019,Luxury Vinyl Plank,SPC Rigid Core - Sierra WPC 12,DuraLux,sq_ft,246749.0,2.79,688429.71,2.59,639079.91,-0.0717,2.99,737779.51,0.0717,3.09,762454.41,0.1075,home_depot
