group_id,category,subcategory,description,basis,annual_volume,fnd_brand,fnd_sku,fnd_price_as_quoted,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_unit_price,fnd_match_tier,fnd_in_stock,fnd_counted,hd_brand,hd_sku,hd_price_as_quoted,hd_uom,hd_pack_coverage,hd_promo_price,hd_unit_price,hd_match_tier,hd_in_stock,hd_counted,lw_brand,lw_sku,lw_price_as_quoted,lw_uom,lw_pack_coverage,lw_promo_price,lw_unit_price,lw_match_tier,lw_in_stock,lw_counted,mnd_brand,mnd_sku,mnd_price_as_quoted,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_unit_price,mnd_match_tier,mnd_in_stock,mnd_counted,tsh_brand,tsh_sku,tsh_price_as_quoted,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_unit_price,tsh_match_tier,tsh_in_stock,tsh_counted,market_min,gap_vs_market_min,outcome,cheapest_retailer
G0001,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Ashford rigid core 28,sq_ft,181026.0,NuCore,FLO-825995,2.49,per_sq_ft,,,2.49,base,yes,yes,Home Decorators Collection,HOM-171741,88.99,per_box,29.69,,2.9973,equivalent,yes,yes,SMARTCORE,LOW-123968,2.59,per_sq_ft,,,2.59,equivalent,yes,yes,,,,,,,,not carried,,no,Kismet,TIL-954814,2.99,per_sq_ft,,2.49,2.49,equivalent,yes,yes,2.49,0.0,tie,floor_and_decor
G0002,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Windsor SPC 6,sq_ft,232102.0,NuCore,FLO-477055,1.89,per_sq_ft,,,1.89,base,yes,yes,LifeProof,HOM-407212,2.09,per_sq_ft,,,2.09,equivalent,yes,yes,,,,,,,,not carried,,no,Patrician,MEN-987351,62.99,per_box,29.39,,2.1432,equivalent,yes,yes,Superior,TIL-202014,2.19,per_sq_ft,,,2.19,equivalent,no,no,2.09,-0.0957,win,floor_and_decor
G0003,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Bergamo WPC 22,sq_ft,144948.0,Mohawk,FLO-232739,4.79,per_sq_ft,,,4.79,base,yes,yes,,,,,,,,not carried,,no,Mohawk,LOW-140449,87.97,per_case,17.58,,5.004,exact,yes,yes,Mohawk,MEN-913193,109.98,per_box,23.21,,4.7385,exact,yes,yes,Mohawk,TIL-124862,5.29,per_sq_ft,,,5.29,exact,yes,yes,4.7385,0.0109,loss,menards
G0004,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Nordic rigid core 20,sq_ft,153834.0,NuCore,FLO-308602,3.79,per_sq_ft,,3.09,3.09,base,yes,yes,LifeProof,HOM-465538,82.99,per_box,20.06,,4.1371,equivalent,yes,yes,Origin 21,LOW-829524,91.97,per_case,19.77,,4.652,equivalent,yes,yes,,,,,,,,not carried,,no,,,,,,,,not carried,,no,4.1371,-0.2531,win,floor_and_decor
G0005,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Stonehaven WPC 12,sq_ft,56423.0,AquaGuard,FLO-856178,4.59,per_sq_ft,,3.69,3.69,base,yes,yes,LifeProof,HOM-465878,93.97,per_box,18.67,,5.0332,equivalent,yes,yes,SMARTCORE,LOW-400454,104.98,per_case,19.67,,5.3371,equivalent,yes,yes,Dakota,MEN-973112,5.79,per_sq_ft,,,5.79,equivalent,no,no,Marmi,TIL-251559,86.97,per_case,16.48,,5.2773,equivalent,yes,yes,5.0332,-0.2669,win,floor_and_decor
G0006,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Blackwater rigid core 20,sq_ft,107649.0,Shaw,FLO-449569,4.39,per_sq_ft,,,4.39,base,yes,yes,Shaw,HOM-875721,4.79,per_sq_ft,,,4.79,exact,yes,yes,Shaw,LOW-401803,82.97,per_case,17.69,,4.6902,exact,yes,yes,Shaw,MEN-935423,4.69,per_sq_ft,,,4.69,exact,yes,yes,Shaw,TIL-868559,4.99,per_sq_ft,,,4.99,exact,yes,yes,4.69,-0.064,win,floor_and_decor
G0007,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Oakmont WPC 22,sq_ft,76661.0,AquaGuard,FLO-734269,2.79,per_sq_ft,,,2.79,base,yes,yes,LifeProof,HOM-260986,3.09,per_sq_ft,,,3.09,equivalent,no,no,Origin 21,LOW-410298,68.99,per_case,22.1,,3.1217,equivalent,yes,yes,Dakota,MEN-126824,64.97,per_box,19.16,,3.3909,equivalent,yes,yes,Rush River,TIL-582617,87.97,per_case,27.02,,3.2557,equivalent,yes,yes,3.1217,-0.1063,win,floor_and_decor
G0008,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Vintage Elm WPC 28,sq_ft,233094.0,AquaGuard,FLO-992868,4.49,per_sq_ft,,,4.49,base,yes,yes,LifeProof,HOM-454599,5.99,per_sq_ft,,,5.99,equivalent,yes,yes,Origin 21,LOW-400315,4.99,per_sq_ft,,,4.99,equivalent,yes,yes,Patrician,MEN-142486,5.59,per_sq_ft,,,5.59,equivalent,yes,yes,,,,,,,,not carried,,no,4.99,-0.1002,win,floor_and_decor
G0009,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Zermatt WPC 20,sq_ft,146770.0,AquaGuard,FLO-398539,3.39,per_sq_ft,,,3.39,base,yes,yes,LifeProof,HOM-270165,4.09,per_sq_ft,,,4.09,equivalent,yes,yes,Origin 21,LOW-241601,77.99,per_case,18.27,,4.2687,equivalent,yes,yes,Masterforce,MEN-867195,99.98,per_box,28.0,79.99,2.8568,equivalent,yes,yes,Kismet,TIL-981810,4.59,per_sq_ft,,,4.59,equivalent,yes,yes,2.8568,0.1866,loss,menards
G0010,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Stonehaven WPC 12,sq_ft,113210.0,Mohawk,FLO-642882,3.49,per_sq_ft,,,3.49,base,yes,yes,Mohawk,HOM-147632,88.97,per_box,24.11,,3.6902,exact,yes,yes,Mohawk,LOW-691213,3.69,per_sq_ft,,,3.69,exact,yes,yes,Mohawk,MEN-117031,3.59,per_sq_ft,,,3.59,exact,yes,yes,,,,,,,,not carried,,no,3.59,-0.0279,win,floor_and_decor
