group_id,category,subcategory,description,basis,annual_volume,fnd_unit_price,home_depot_unit_price,home_depot_delta_pct,home_depot_match_tier,lowes_unit_price,lowes_delta_pct,lowes_match_tier,menards_unit_price,menards_delta_pct,menards_match_tier,tile_shop_unit_price,tile_shop_delta_pct,tile_shop_match_tier,market_min,gap_vs_market_min,outcome,cheapest_retailer,flags
G0001,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Ashford rigid core 28,sq_ft,181026.0,2.49,2.9973,0.2037,equivalent,2.59,0.0402,equivalent,,,none,2.49,0.0,equivalent,2.49,0.0,tie,floor_and_decor,no_competitor_offer:menards;promo_driven_gap:tile_shop
G0002,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Windsor SPC 6,sq_ft,232102.0,1.89,2.09,0.1058,equivalent,,,none,2.1432,0.134,equivalent,2.19,0.1587,equivalent,2.09,-0.0957,win,floor_and_decor,competitor_out_of_stock:tile_shop;no_competitor_offer:lowes
G0003,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Bergamo WPC 22,sq_ft,144948.0,4.79,,,none,5.004,0.0447,exact,4.7385,-0.0108,exact,5.29,0.1044,exact,4.7385,0.0109,loss,menards,no_competitor_offer:home_depot
G0004,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Nordic rigid core 20,sq_ft,153834.0,3.09,4.1371,0.3389,equivalent,4.652,0.5055,equivalent,,,none,,,none,4.1371,-0.2531,win,floor_and_decor,extreme_gap:lowes;no_competitor_offer:menards;no_competitor_offer:tile_shop
G0005,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Stonehaven WPC 12,sq_ft,56423.0,3.69,5.0332,0.364,equivalent,5.3371,0.4464,equivalent,5.79,0.5691,equivalent,5.2773,0.4302,equivalent,5.0332,-0.2669,win,floor_and_decor,competitor_out_of_stock:menards;extreme_gap:lowes;extreme_gap:tile_shop
G0006,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Blackwater rigid core 20,sq_ft,107649.0,4.39,4.79,0.0911,exact,4.6902,0.0684,exact,4.69,0.0683,exact,4.99,0.1367,exact,4.69,-0.064,win,floor_and_decor,
G0007,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Oakmont WPC 22,sq_ft,76661.0,2.79,3.09,0.1075,equivalent,3.1217,0.1189,equivalent,3.3909,0.2154,equivalent,3.2557,0.1669,equivalent,3.1217,-0.1063,win,floor_and_decor,competitor_out_of_stock:home_depot
G0008,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Vintage Elm WPC 28,sq_ft,233094.0,4.49,5.99,0.3341,equivalent,4.99,0.1114,equivalent,5.59,0.245,equivalent,,,none,4.99,-0.1002,win,floor_and_decor,no_competitor_offer:tile_shop
G0009,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Zermatt WPC 20,sq_ft,146770.0,3.39,4.09,0.2065,equivalent,4.2687,0.2592,equivalent,2.8568,-0.1573,equivalent,4.59,0.354,equivalent,2.8568,0.1866,loss,menards,promo_driven_gap:menards
G0010,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Stonehaven WPC 12,sq_ft,113210.0,3.49,3.6902,0.0574,exact,3.69,0.0573,exact,3.59,0.0287,exact,,,none,3.59,-0.0279,win,floor_and_decor,no_competitor_offer:tile_shop
G0011,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Harbor Oak WPC 12,sq_ft,163958.0,2.59,2.7704,0.0697,equivalent,2.7543,0.0634,equivalent,3.1222,0.2055,equivalent,3.6282,0.4008,equivalent,2.7543,-0.0597,win,floor_and_decor,competitor_out_of_stock:tile_shop
G0012,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Zermatt rigid core 12,sq_ft,192148.0,3.19,3.39,0.0627,equivalent,3.79,0.1881,equivalent,3.805,0.1928,equivalent,3.79,0.1881,equivalent,3.39,-0.059,win,floor_and_decor,
G0013,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Umber rigid core 22,sq_ft,54349.0,2.09,2.4883,0.1906,equivalent,2.39,0.1435,equivalent,2.3856,0.1414,equivalent,2.7573,0.3193,close,2.3856,-0.1239,win,floor_and_decor,
G0014,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Thornbury WPC 20,sq_ft,192652.0,4.69,4.9467,0.0547,exact,4.9046,0.0458,exact,4.5806,-0.0233,exact,,,none,4.5806,0.0239,loss,menards,no_competitor_offer:tile_shop
G0015,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Blackwater rigid core 6,sq_ft,211980.0,4.29,4.5883,0.0695,equivalent,4.99,0.1632,equivalent,,,none,,,none,4.5883,-0.065,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:menards;no_competitor_offer:tile_shop
G0016,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Maplewood rigid core 22,sq_ft,203747.0,4.39,5.6247,0.2813,equivalent,4.09,-0.0683,equivalent,3.7334,-0.1496,equivalent,4.2781,-0.0255,equivalent,3.7334,0.1759,loss,menards,promo_driven_gap:lowes;promo_driven_gap:menards;promo_driven_gap:tile_shop
G0017,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Oakmont WPC 6,sq_ft,64460.0,3.29,4.19,0.2736,equivalent,4.184,0.2717,equivalent,2.99,-0.0912,equivalent,3.0015,-0.0877,equivalent,3.0015,0.0961,loss,tile_shop,competitor_out_of_stock:menards;promo_driven_gap:tile_shop
G0018,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Pembroke SPC 22,sq_ft,19092.0,3.69,4.1368,0.1211,exact,3.89,0.0542,exact,3.99,0.0813,exact,4.29,0.1626,exact,3.89,-0.0514,win,floor_and_decor,competitor_out_of_stock:home_depot
G0019,Luxury Vinyl Plank,SPC Rigid Core,SPC Rigid Core - Sierra WPC 12,sq_ft,246749.0,2.79,2.59,-0.0717,equivalent,2.99,0.0717,equivalent,3.09,0.1075,equivalent,3.5149,0.2598,equivalent,2.59,0.0772,loss,home_depot,promo_driven_gap:home_depot
G0020,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Bianco rigid core 22,sq_ft,205990.0,3.29,3.39,0.0304,exact,3.5302,0.073,exact,3.49,0.0608,exact,3.6155,0.0989,exact,3.39,-0.0295,win,floor_and_decor,
G0021,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Espresso SPC 12,sq_ft,156612.0,3.99,4.59,0.1504,equivalent,4.79,0.2005,equivalent,4.09,0.0251,equivalent,5.89,0.4762,equivalent,4.09,-0.0244,win,floor_and_decor,extreme_gap:tile_shop
G0022,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Yorkshire rigid core 6,sq_ft,177638.0,2.49,2.691,0.0807,equivalent,2.4941,0.0016,equivalent,2.9961,0.2033,equivalent,2.5957,0.0424,equivalent,2.4941,-0.0016,tie,floor_and_decor,
G0023,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Coastal Grey WPC 6,sq_ft,64412.0,4.79,4.69,-0.0209,equivalent,5.2936,0.1051,equivalent,4.79,0.0,equivalent,5.9163,0.2351,equivalent,4.69,0.0213,loss,home_depot,promo_driven_gap:home_depot;promo_driven_gap:menards
G0024,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Kingsport SPC 12,sq_ft,152137.0,4.49,4.19,-0.0668,equivalent,5.113,0.1388,close,4.7211,0.0515,equivalent,5.79,0.2895,equivalent,4.19,0.0716,loss,home_depot,promo_driven_gap:home_depot
G0025,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Bergamo WPC 28,sq_ft,247080.0,2.89,3.19,0.1038,equivalent,2.782,-0.0374,equivalent,3.29,0.1384,equivalent,3.69,0.2768,equivalent,2.782,0.0388,loss,lowes,promo_driven_gap:lowes
G0026,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Fieldstone WPC 20,sq_ft,240188.0,3.79,5.163,0.3623,equivalent,5.49,0.4485,equivalent,6.1638,0.6263,equivalent,6.623,0.7475,equivalent,5.163,-0.2659,win,floor_and_decor,extreme_gap:lowes;extreme_gap:menards;extreme_gap:tile_shop
G0027,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Ivory rigid core 20,sq_ft,212609.0,3.19,3.89,0.2194,equivalent,3.6676,0.1497,equivalent,3.4474,0.0807,equivalent,3.59,0.1254,equivalent,3.4474,-0.0747,win,floor_and_decor,
G0028,Luxury Vinyl Plank,Glue Down LVP,Glue Down LVP - Alabaster SPC 12,sq_ft,132973.0,2.09,2.69,0.2871,equivalent,2.1526,0.03,equivalent,2.5063,0.1992,equivalent,2.2782,0.09,equivalent,2.1526,-0.0291,win,floor_and_decor,competitor_out_of_stock:tile_shop
G0029,Luxury Vinyl Plank,Waterproof LVP,Waterproof LVP - Autumn Hollow SPC 12,sq_ft,212904.0,1.79,1.99,0.1117,equivalent,2.19,0.2235,equivalent,1.6222,-0.0937,equivalent,2.0961,0.171,equivalent,1.6222,0.1034,loss,menards,promo_driven_gap:menards
G0030,Luxury Vinyl Plank,WPC Rigid Core,WPC Rigid Core - Granite Peak WPC 12,sq_ft,195088.0,4.29,4.69,0.0932,equivalent,5.4888,0.2794,equivalent,,,none,5.39,0.2564,equivalent,4.69,-0.0853,win,floor_and_decor,no_competitor_offer:menards
G0031,Laminate,Waterproof Laminate,Waterproof Laminate - Fieldstone 4 7,sq_ft,91308.0,1.99,2.39,0.201,exact,2.39,0.201,exact,2.2473,0.1293,exact,,,none,2.2473,-0.1145,win,floor_and_decor,no_competitor_offer:tile_shop
G0032,Laminate,Waterproof Laminate,Waterproof Laminate - Sundance 4 12,sq_ft,157778.0,2.99,2.89,-0.0334,equivalent,2.8159,-0.0582,equivalent,3.09,0.0334,equivalent,,,none,2.8159,0.0618,loss,lowes,no_competitor_offer:tile_shop;promo_driven_gap:home_depot;promo_driven_gap:lowes
G0033,Laminate,Water Resistant Laminate,Water Resistant Laminate - Coastal Grey 3 7,sq_ft,63538.0,2.59,2.79,0.0772,equivalent,3.09,0.1931,equivalent,2.69,0.0386,equivalent,,,none,2.69,-0.0372,win,floor_and_decor,competitor_out_of_stock:lowes;no_competitor_offer:tile_shop
G0034,Laminate,Water Resistant Laminate,Water Resistant Laminate - Saxony 5 7,sq_ft,49772.0,2.29,2.69,0.1747,equivalent,2.608,0.1389,equivalent,1.99,-0.131,equivalent,,,none,1.99,0.1508,loss,menards,no_competitor_offer:tile_shop
G0035,Laminate,Water Resistant Laminate,Water Resistant Laminate - Pembroke 5 7,sq_ft,179784.0,1.49,1.29,-0.1342,equivalent,1.89,0.2685,equivalent,1.79,0.2013,equivalent,,,none,1.29,0.155,loss,home_depot,no_competitor_offer:tile_shop;promo_driven_gap:home_depot
G0036,Laminate,Waterproof Laminate,Waterproof Laminate - Slate Creek 4 10,sq_ft,179213.0,2.49,2.1326,-0.1435,equivalent,3.09,0.241,equivalent,2.99,0.2008,equivalent,,,none,2.1326,0.1676,loss,home_depot,no_competitor_offer:tile_shop;promo_driven_gap:home_depot
G0037,Laminate,Water Resistant Laminate,Water Resistant Laminate - Umber 3 8,sq_ft,10355.0,1.79,1.8879,0.0547,close,2.09,0.1676,equivalent,1.89,0.0559,equivalent,,,none,1.8879,-0.0519,win,floor_and_decor,no_competitor_offer:tile_shop
