group_id,retailer,retailer_sku,brand,product_name,price,uom,pack_coverage,promo_price,in_stock,collected_on,data_source,url,specs
G0001,floor_and_decor,FL-825995,NuCore,Ashford Glue Down LVP,2.49,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=28;thickness_mm=4.0;width_in=7.2;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=oak;install=click
G0001,home_depot,HO-171741,Home Decorators Collection,Ashford Glue Down LVP,88.99,per_box,29.69,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=28;thickness_mm=4.0;width_in=7.2;length_in=72;waterproof=yes;attached_pad=no;finish=hand scraped;look=oak;install=click
G0001,lowes,LO-123968,SMARTCORE,Ashford Glue Down LVP,2.59,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=28;thickness_mm=4.0;width_in=7.2;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=oak;install=click
G0002,floor_and_decor,FL-586297,AquaGuard,Barnwood SPC Rigid Core,4.99,per_sq_ft,,3.89,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=22;thickness_mm=6.0;width_in=7.2;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=stone;install=glue
G0002,home_depot,HO-392621,LifeProof,Barnwood SPC Rigid Core,5.69,per_sq_ft,,,no,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=22;thickness_mm=4.0;width_in=7.2;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=stone;install=glue
G0002,lowes,LO-178417,Origin 21,Barnwood SPC Rigid Core,6.39,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=22;thickness_mm=6.5;width_in=7.2;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=stone;install=glue
G0003,floor_and_decor,FL-987351,DuraLux,Onyx Waterproof LVP,3.59,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=20;thickness_mm=5.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=embossed;look=maple;install=click
G0003,home_depot,HO-299125,TrafficMaster,Onyx Waterproof LVP,99.98,per_box,25.43,90.98,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=20;thickness_mm=5.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=embossed;look=maple;install=click
G0003,lowes,LO-749418,SMARTCORE,Onyx Waterproof LVP,4.29,per_sq_ft,,3.59,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=20;thickness_mm=5.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=embossed;look=maple;install=click
G0004,floor_and_decor,FL-366472,Pergo,Carrara WPC Rigid Core,3.99,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=8.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=embossed;look=stone;install=click
G0004,home_depot,HO-630112,Pergo,Carrara WPC Rigid Core,124.98,per_box,29.77,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=8.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=embossed;look=stone;install=click
G0004,lowes,LO-139420,Pergo,Carrara WPC Rigid Core,4.09,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=8.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=embossed;look=stone;install=click
G0005,floor_and_decor,FL-644279,Shaw,Cedar Point SPC Rigid Core,4.29,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=72;waterproof=yes;attached_pad=no;finish=embossed;look=oak;install=glue
G0005,home_depot,HO-465538,Shaw,Cedar Point SPC Rigid Core,91.99,per_box,20.06,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=72;waterproof=yes;attached_pad=no;finish=embossed;look=oak;install=glue
G0005,lowes,LO-829524,Shaw,Cedar Point SPC Rigid Core,87.97,per_case,19.77,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=72;waterproof=yes;attached_pad=no;finish=embossed;look=oak;install=glue
G0006,floor_and_decor,FL-369991,NuCore,Blackwater SPC Rigid Core,3.89,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=6;thickness_mm=6.5;width_in=7.2;length_in=48;waterproof=yes;attached_pad=yes;finish=hand scraped;look=stone;install=glue
G0006,home_depot,HO-339650,TrafficMaster,Blackwater SPC Rigid Core,81.99,per_box,19.89,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=6;thickness_mm=6.5;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=hand scraped;look=stone;install=glue
G0006,lowes,LO-400454,Origin 21,Blackwater SPC Rigid Core,99.98,per_case,22.63,86.97,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=6;thickness_mm=6.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=yes;finish=hand scraped;look=stone;install=glue
G0007,floor_and_decor,FL-886815,NuCore,Ashford Waterproof LVP,3.69,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=22;thickness_mm=6.5;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=matte;look=walnut;install=click
G0007,home_depot,HO-236290,LifeProof,Ashford Waterproof LVP,119.98,per_box,25.02,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=28;thickness_mm=6.5;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=matte;look=walnut;install=click
G0007,lowes,LO-906411,SMARTCORE,Ashford Waterproof LVP,104.98,per_case,24.96,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=22;thickness_mm=6.5;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=matte;look=walnut;install=click
G0008,floor_and_decor,FL-893113,DuraLux,Harbor Oak Waterproof LVP,3.89,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=12;thickness_mm=6.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=yes;finish=hand scraped;look=stone;install=glue
G0008,home_depot,HO-228645,TrafficMaster,Harbor Oak Waterproof LVP,144.98,per_box,28.84,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=12;thickness_mm=6.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=yes;finish=hand scraped;look=stone;install=click
G0008,lowes,LO-462868,Origin 21,Harbor Oak Waterproof LVP,104.98,per_case,23.93,,yes,2026-08-14,seed_estimate,,core=rigid core;wear_layer_mil=12;thickness_mm=6.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=hand scraped;look=stone;install=glue
G0009,floor_and_decor,FL-410298,AquaGuard,Pearl SPC Rigid Core,3.89,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=48;waterproof=yes;attached_pad=yes;finish=wire brushed;look=maple;install=click
G0009,home_depot,HO-126824,TrafficMaster,Pearl SPC Rigid Core,90.97,per_box,19.16,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=48;waterproof=yes;attached_pad=yes;finish=wire brushed;look=maple;install=click
G0009,lowes,LO-572161,SMARTCORE,Pearl SPC Rigid Core,104.98,per_case,27.02,,yes,2026-08-14,seed_estimate,,core=SPC;wear_layer_mil=6;thickness_mm=6.0;width_in=7;length_in=48;waterproof=yes;attached_pad=yes;finish=wire brushed;look=maple;install=click
G0010,floor_and_decor,FL-992868,DuraLux,Hillcrest Glue Down LVP,4.49,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=12;thickness_mm=6.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=hand scraped;look=maple;install=click
G0010,home_depot,HO-454599,LifeProof,Hillcrest Glue Down LVP,6.09,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=12;thickness_mm=6.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=hand scraped;look=maple;install=click
G0010,lowes,LO-400315,Origin 21,Hillcrest Glue Down LVP,4.99,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=22;thickness_mm=6.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=hand scraped;look=maple;install=click
G0011,floor_and_decor,FL-151779,AquaGuard,Cedar Point SPC Rigid Core,2.29,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=12;thickness_mm=6.5;width_in=6;length_in=72;waterproof=yes;attached_pad=yes;finish=embossed;look=maple;install=glue
G0011,home_depot,HO-605254,Home Decorators Collection,Cedar Point SPC Rigid Core,2.99,per_sq_ft,,,yes,2026-08-14,seed_estimate,,core=WPC;wear_layer_mil=12;thickness_mm=6.5;width_in=6;length_in=72;waterproof=yes;attached_pad=no;finish=embossed;look=maple;install=glue
