group_id,category,subcategory,basis,description,annual_volume,specs
G0001,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Ashford rigid core 28,181026,core=rigid core;wear_layer_mil=28;thickness_mm=4.0;width_in=7.2;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=oak;install=click
G0002,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Windsor SPC 6,232102,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=9;length_in=60;waterproof=yes;attached_pad=no;finish=matte;look=walnut;install=click
G0003,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Bergamo WPC 22,144948,core=WPC;wear_layer_mil=22;thickness_mm=6.0;width_in=7;length_in=48;waterproof=yes;attached_pad=yes;finish=wire brushed;look=stone;install=glue
G0004,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Nordic rigid core 20,153834,core=rigid core;wear_layer_mil=20;thickness_mm=4.0;width_in=6;length_in=72;waterproof=yes;attached_pad=no;finish=embossed;look=stone;install=glue
G0005,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Stonehaven WPC 12,56423,core=WPC;wear_layer_mil=12;thickness_mm=6.5;width_in=6;length_in=60;waterproof=yes;attached_pad=yes;finish=hand scraped;look=hickory;install=click
G0006,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Blackwater rigid core 20,107649,core=rigid core;wear_layer_mil=20;thickness_mm=6.0;width_in=6;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=stone;install=glue
G0007,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Oakmont WPC 22,76661,core=WPC;wear_layer_mil=22;thickness_mm=8.0;width_in=7;length_in=72;waterproof=yes;attached_pad=no;finish=matte;look=stone;install=glue
G0008,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Vintage Elm WPC 28,233094,core=WPC;wear_layer_mil=28;thickness_mm=5.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=wire brushed;look=oak;install=glue
G0009,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Zermatt WPC 20,146770,core=WPC;wear_layer_mil=20;thickness_mm=5.0;width_in=7;length_in=72;waterproof=yes;attached_pad=yes;finish=matte;look=stone;install=glue
G0010,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Stonehaven WPC 12,113210,core=WPC;wear_layer_mil=12;thickness_mm=4.0;width_in=6;length_in=72;waterproof=yes;attached_pad=no;finish=hand scraped;look=stone;install=glue
G0011,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Harbor Oak WPC 12,163958,core=WPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=wire brushed;look=maple;install=click
G0012,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Zermatt rigid core 12,192148,core=rigid core;wear_layer_mil=12;thickness_mm=4.0;width_in=9;length_in=72;waterproof=yes;attached_pad=yes;finish=embossed;look=maple;install=click
G0013,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Umber rigid core 22,54349,core=rigid core;wear_layer_mil=22;thickness_mm=6.5;width_in=7.2;length_in=60;waterproof=yes;attached_pad=yes;finish=embossed;look=stone;install=glue
G0014,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Thornbury WPC 20,192652,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=60;waterproof=yes;attached_pad=yes;finish=matte;look=maple;install=click
G0015,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Blackwater rigid core 6,211980,core=rigid core;wear_layer_mil=6;thickness_mm=8.0;width_in=9;length_in=60;waterproof=yes;attached_pad=yes;finish=hand scraped;look=walnut;install=click
G0016,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Maplewood rigid core 22,203747,core=rigid core;wear_layer_mil=22;thickness_mm=8.0;width_in=9;length_in=48;waterproof=yes;attached_pad=yes;finish=hand scraped;look=stone;install=glue
G0017,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Oakmont WPC 6,64460,core=WPC;wear_layer_mil=6;thickness_mm=6.5;width_in=9;length_in=72;waterproof=yes;attached_pad=no;finish=hand scraped;look=stone;install=click
G0018,Luxury Vinyl Plank,Waterproof LVP,sq_ft,Waterproof LVP - Pembroke SPC 22,19092,core=SPC;wear_layer_mil=22;thickness_mm=8.0;width_in=9;length_in=72;waterproof=yes;attached_pad=yes;finish=hand scraped;look=walnut;install=click
G0019,Luxury Vinyl Plank,SPC Rigid Core,sq_ft,SPC Rigid Core - Sierra WPC 12,246749,core=WPC;wear_layer_mil=12;thickness_mm=4.0;width_in=9;length_in=72;waterproof=yes;attached_pad=no;finish=wire brushed;look=walnut;install=glue
G0020,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Bianco rigid core 22,205990,core=rigid core;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=48;waterproof=yes;attached_pad=no;finish=matte;look=hickory;install=glue
G0021,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Espresso SPC 12,156612,core=SPC;wear_layer_mil=12;thickness_mm=8.0;width_in=6;length_in=48;waterproof=yes;attached_pad=yes;finish=matte;look=oak;install=click
G0022,Luxury Vinyl Plank,WPC Rigid Core,sq_ft,WPC Rigid Core - Yorkshire rigid core 6,177638,core=rigid core;wear_layer_mil=6;thickness_mm=4.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=no;finish=wire brushed;look=walnut;install=click
G0023,Luxury Vinyl Plank,Glue Down LVP,sq_ft,Glue Down LVP - Coastal Grey WPC 6,64412,core=WPC;wear_layer_mil=6;thickness_mm=4.0;width_in=7.2;length_in=48;waterproof=yes;attached_pad=yes;finish=embossed;look=hickory;install=glue
