basis,source_doc,source_page,source_url,statement,period_label,period_end,period_type,section,line_item,value,unit,is_subtotal,is_comparative,order_index,note
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2026,2026-03-31,Q,Highlights,Net earnings,24.4,usd_millions,0,0,1,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2025,2025-03-31,Q,Highlights,Net earnings,57.0,usd_millions,0,1,1,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2026,2026-03-31,FY,Highlights,Net earnings,206.9,usd_millions,0,0,1,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2025,2025-03-31,FY,Highlights,Net earnings,209.4,usd_millions,0,1,1,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2026,2026-03-31,Q,Highlights,Adjusted Gross Margin 1,128.7,usd_millions,1,0,2,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2025,2025-03-31,Q,Highlights,Adjusted Gross Margin 1,134.2,usd_millions,1,1,2,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2026,2026-03-31,FY,Highlights,Adjusted Gross Margin 1,459.1,usd_millions,1,0,2,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2025,2025-03-31,FY,Highlights,Adjusted Gross Margin 1,412.4,usd_millions,1,1,2,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2026,2026-03-31,Q,Highlights,Take-or-Pay,58.7,usd_millions,0,0,3,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2025,2025-03-31,Q,Highlights,Take-or-Pay,46.5,usd_millions,0,1,3,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2026,2026-03-31,FY,Highlights,Take-or-Pay,233.6,usd_millions,0,0,3,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2025,2025-03-31,FY,Highlights,Take-or-Pay,185.0,usd_millions,0,1,3,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2026,2026-03-31,Q,Highlights,"Short-term Storage service, net of cost of gas storage services",40.7,usd_millions,0,0,4,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,Q4 FY2025,2025-03-31,Q,Highlights,"Short-term Storage service, net of cost of gas storage services",57.7,usd_millions,0,1,4,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2026,2026-03-31,FY,Highlights,"Short-term Storage service, net of cost of gas storage services",146.7,usd_millions,0,0,4,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
business_100,3409150,1,https://web.quartr.com/companies/21558?companyId=21558&documentId=3409150&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=1,non_ifrs,FY2025,2025-03-31,FY,Highlights,"Short-term Storage service, net of cost of gas storage services",170.8,usd_millions,0,1,4,column mapping proven: prose p.1-2 + components foot to Adjusted Gross Margin in all four columns
